framework,workload,target_parameter,target_value,row_multiplicity,methods,representative_run_id,deepest_milestone,normalized_signature
deepspeed,chatglm3-train,model.attention_dropout,1.0,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-975088186fd9c6fe,process_group_initialization,"RuntimeError: Expected p_dropout < <N>.f to be true, but got false. (Could this error message be improved? If so, please report an enhancement request to PyTorch.)"
deepspeed,chatglm3-train,model.attention_dropout,1.000001,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-6131b4f2e67f60b0,process_group_initialization,"RuntimeError: Expected p_dropout < <N>.f to be true, but got false. (Could this error message be improved? If so, please report an enhancement request to PyTorch.)"
deepspeed,chatglm3-train,model.ffn_hidden_size,-1,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-130a52665e56361d,argument_parsing,"RuntimeError: Trying to create tensor with negative dimension -<N>: [-<N>, <N>]"
deepspeed,chatglm3-train,model.hidden_size,-1,4,configfuzz;global_repair;native_validator_guided;raw_mutation,rq3-current-deepspeed-aa281476c5f40881,argument_parsing,"RuntimeError: Trying to create tensor with negative dimension -<N>: [<N>, -<N>]"
deepspeed,chatglm3-train,model.hidden_size,1,4,configfuzz;global_repair;native_validator_guided;raw_mutation,rq3-current-deepspeed-804bc0081fa9f83c,argument_parsing,ZeroDivisionError: <N> cannot be raised to a negative power
deepspeed,chatglm3-train,model.hidden_size,2,4,configfuzz;global_repair;native_validator_guided;raw_mutation,rq3-current-deepspeed-f921b57e3a5d3f45,argument_parsing,ZeroDivisionError: <N> cannot be raised to a negative power
deepspeed,chatglm3-train,model.num_attention_heads,-1,5,configfuzz;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-3b6a55ef32000630,argument_parsing,"RuntimeError: Trying to create tensor with negative dimension -<N>: [-<N>, <N>]"
deepspeed,chatglm3-train,model.num_attention_heads,0,4,configfuzz;global_repair;native_validator_guided;raw_mutation,rq3-current-deepspeed-62d50f2c928c5c7a,argument_parsing,ZeroDivisionError: integer division or modulo by zero
deepspeed,chatglm3-train,model.num_attention_heads,11,2,native_validator_guided;raw_mutation,rq3-current-deepspeed-0bd5bc4c1903fa7e,process_group_initialization,RuntimeError: Number of heads in key and value must divide the number of heads in
deepspeed,chatglm3-train,model.num_attention_heads,13,2,native_validator_guided;raw_mutation,rq3-current-deepspeed-55d662f72caf0ed4,process_group_initialization,RuntimeError: Number of heads in key and value must divide the number of heads in
deepspeed,chatglm3-train,model.num_attention_heads,15,2,native_validator_guided;raw_mutation,rq3-current-deepspeed-16ede5d6a5ef6b98,process_group_initialization,RuntimeError: Number of heads in key and value must divide the number of heads in
deepspeed,chatglm3-train,model.num_attention_heads,17,2,native_validator_guided;raw_mutation,rq3-current-deepspeed-ee6af1733134eb52,process_group_initialization,RuntimeError: Number of heads in key and value must divide the number of heads in
deepspeed,chatglm3-train,model.num_attention_heads,5,2,native_validator_guided;raw_mutation,rq3-current-deepspeed-cb721f6ade2ea32d,process_group_initialization,RuntimeError: Number of heads in key and value must divide the number of heads in
deepspeed,chatglm3-train,model.num_attention_heads,7,2,native_validator_guided;raw_mutation,rq3-current-deepspeed-e5cab524a955f0af,process_group_initialization,RuntimeError: Number of heads in key and value must divide the number of heads in
deepspeed,chatglm3-train,model.num_attention_heads,9,2,native_validator_guided;raw_mutation,rq3-current-deepspeed-454e1cf745444a3f,process_group_initialization,RuntimeError: Number of heads in key and value must divide the number of heads in
