framework,candidate_count,normalized_signature,representative_run_id,representative_workload,representative_target_parameter,representative_target_value
deepspeed,64,RuntimeError: The size of tensor a (<N>) must match the size of tensor b (<N>) at non-singleton dimension <N>,rq3-current-deepspeed-07db305226a3e2c4,internvl3-train,model.hidden_size,520
pytorch-cuda,64,RuntimeError: The size of tensor a (<N>) must match the size of tensor b (<N>) at non-singleton dimension <N>,rq3-current-pytorch-cuda-424871c4d24de1ea,internvl3-train,model.hidden_size,520
transformers-accelerate,64,RuntimeError: The size of tensor a (<N>) must match the size of tensor b (<N>) at non-singleton dimension <N>,rq3-current-transformers-accelerate-fc6bb44592689339,internvl3-train,model.hidden_size,520
pytorch-cuda,46,"RuntimeError: Trying to create tensor with negative dimension -<N>: [-<N>, <N>]",rq3-current-pytorch-cuda-b89a59dab5cdd26c,chatglm3-train,model.ffn_hidden_size,-1
transformers-accelerate,46,"RuntimeError: Trying to create tensor with negative dimension -<N>: [-<N>, <N>]",rq3-current-transformers-accelerate-5bf2aa37822d7524,chatglm3-train,model.ffn_hidden_size,-1
deepspeed,35,RuntimeError: Number of heads in key and value must divide the number of heads in,rq3-current-deepspeed-0bd5bc4c1903fa7e,chatglm3-train,model.num_attention_heads,11
pytorch-cuda,35,RuntimeError: Number of heads in key and value must divide the number of heads in,rq3-current-pytorch-cuda-afa6ef30998f0d48,chatglm3-train,model.num_attention_heads,11
transformers-accelerate,35,RuntimeError: Number of heads in key and value must divide the number of heads in,rq3-current-transformers-accelerate-7ad6a83b422c87ae,chatglm3-train,model.num_attention_heads,11
deepspeed,27,"RuntimeError: Trying to create tensor with negative dimension -<N>: [-<N>, <N>]",rq3-current-deepspeed-130a52665e56361d,chatglm3-train,model.ffn_hidden_size,-1
pytorch-cuda,24,RuntimeError: selected index k out of range,rq3-current-pytorch-cuda-54154261a8fe41a6,deepseekv3-train,moe.moe_router_num_groups,6
transformers-accelerate,24,RuntimeError: selected index k out of range,rq3-current-transformers-accelerate-cdb2b9e9bb84dde1,deepseekv3-train,moe.moe_router_num_groups,6
deepspeed,23,RuntimeError: selected index k out of range,rq3-current-deepspeed-bb72d3313ec30ad5,deepseekv3-train,moe.moe_router_num_groups,6
megatron-core,22,"RuntimeError: shape '[<N>, <N>, <N>, <N>]' is invalid for input of size <N>",rq3-current-megatron-core-0af9f13e5aac9408,llama2-train,model.num_attention_heads,1
deepspeed,11,ZeroDivisionError: integer division or modulo by zero,rq3-current-deepspeed-62d50f2c928c5c7a,chatglm3-train,model.num_attention_heads,0
pytorch-cuda,11,ZeroDivisionError: integer division or modulo by zero,rq3-current-pytorch-cuda-1c4ea803f9f065d3,chatglm3-train,model.num_attention_heads,0
transformers-accelerate,11,ZeroDivisionError: integer division or modulo by zero,rq3-current-transformers-accelerate-1828fc457dc1c3a5,chatglm3-train,model.num_attention_heads,0
deepspeed,10,RuntimeError: expected data_ptr to be aligned to <N> bytes,rq3-current-deepspeed-9562d4b10a2103b7,deepseekv3-train,mla.kv_lora_rank,68
deepspeed,9,"RuntimeError: shape '[<N>, <N>, <N>, <N>]' is invalid for input of size <N>",rq3-current-deepspeed-edccd3509a605ed0,internvl3-train,multimodal.downsample_ratio,0.125
megatron-core,9,RuntimeError: selected index k out of range,rq3-current-megatron-core-f0eee6db9298f18d,mixtral-train,moe.moe_router_topk,6
pytorch-cuda,9,"RuntimeError: shape '[<N>, <N>, <N>, <N>]' is invalid for input of size <N>",rq3-current-pytorch-cuda-4ebdc7962c0b9fb5,internvl3-train,multimodal.downsample_ratio,0.125
transformers-accelerate,9,"RuntimeError: shape '[<N>, <N>, <N>, <N>]' is invalid for input of size <N>",rq3-current-transformers-accelerate-a1ddd434ec9aa293,internvl3-train,multimodal.downsample_ratio,0.125
deepspeed,8,"RuntimeError: Trying to create tensor with negative dimension -<N>: [<N>, -<N>]",rq3-current-deepspeed-aa281476c5f40881,chatglm3-train,model.hidden_size,-1
pytorch-cuda,8,"RuntimeError: Trying to create tensor with negative dimension -<N>: [<N>, -<N>]",rq3-current-pytorch-cuda-6f6e8de26d842608,chatglm3-train,model.hidden_size,-1
transformers-accelerate,8,"RuntimeError: Trying to create tensor with negative dimension -<N>: [<N>, -<N>]",rq3-current-transformers-accelerate-4a56958e652ca6ef,chatglm3-train,model.hidden_size,-1
deepspeed,6,ZeroDivisionError: <N> cannot be raised to a negative power,rq3-current-deepspeed-f921b57e3a5d3f45,chatglm3-train,model.hidden_size,2
megatron-core,6,"RuntimeError: invalid shape dimension -<N> at index <N> of shape [<N>, <N>, <N>, -<N>]",rq3-current-megatron-core-bb948b3ff6fa5043,llama2-train,model.num_query_groups,-1
pytorch-cuda,6,ZeroDivisionError: <N> cannot be raised to a negative power,rq3-current-pytorch-cuda-a63b0749d734e034,chatglm3-train,model.hidden_size,2
